species;family
Abarema josephi;Fabaceae
Abelia biflora;Linnaeaceae
Abelia biflora;Linnaeaceae
Abelia chinensis;Linnaeaceae
Abelia longituba;Linnaeaceae
Abelia mosanensis;Linnaeaceae
Abelia mosanensis;Linnaeaceae
Abelia mosanensis;Linnaeaceae
Abelia triflora;Linnaeaceae
Abelia x grandiflora;Linnaeaceae
Abelia x grandiflora;Linnaeaceae
Abelia x grandiflora;Linnaeaceae
Abelia x grandiflora;Linnaeaceae
Abelia x grandiflora;Linnaeaceae
Abelia x grandiflora;Linnaeaceae
Abeliophyllum distichum;Oleaceae
Abelmoschus moschatus;Malvaceae
Abies concolor;Pinaceae
Abies georgei;Pinaceae
Abies kawakamii;Pinaceae
Abies koreana;Pinaceae
Abies koreana;Pinaceae
Abies pinsapo;Pinaceae
Abies pinsapo;Pinaceae
Abies religiosa;Pinaceae
Abies veitchii;Pinaceae
Abroma augusta;Malvaceae
Abroma augustum;Malvaceae
Abutilon darwinii;Malvaceae
Abutilon grandifolium;Malvaceae
Abutilon hybr.;Malvaceae
Abutilon hybr.;Malvaceae
Abutilon hybr.;Malvaceae
Abutilon megapotamicum;Malvaceae
Acacia neriifolia;Fabaceae
Acacia auriculiformis;Fabaceae
Acacia boormanii;Fabaceae
Acacia cornigera;Fabaceae
Acacia cultriformis;Fabaceae
Acacia dealbata;Fabaceae
Acacia dealbata;Fabaceae
Acacia erioloba;Fabaceae
Acacia grandicornuta;Fabaceae
Acacia haematoxylon;Fabaceae
Acacia heterophylla;Fabaceae
Acacia karroo;Fabaceae
Acacia karroo;Fabaceae
Acacia mearnsii;Fabaceae
Acacia montis-usti;Fabaceae
Acacia nanodealbata;Fabaceae
Acacia paradoxa;Fabaceae
Acacia paradoxa;Fabaceae
Acacia pravissima;Fabaceae
Acacia pycnantha;Fabaceae
Acacia pycnantha;Fabaceae
Acacia retinodes;Fabaceae
Acacia riceana;Fabaceae
Acacia sp.;Fabaceae
Acacia sp.;Fabaceae
Acacia sp.;Fabaceae
Acacia sp.;Fabaceae
Acacia sp.;Fabaceae
Acacia sp.;Fabaceae
Acacia sp.;Fabaceae
Acacia suaveolens;Fabaceae
Acacia suaveolens;Fabaceae
Acacia swazica;Fabaceae
Acacia verticillata;Fabaceae
Acaena buchananii;Rosaceae
Acaena inermis;Rosaceae
Acaena microphylla;Rosaceae
Acaena novae-zelandiae;Rosaceae
Acalypha sp.;Euphorbiaceae
Acanthephippium mantinianum;Orchidaceae
Acanthephippium sp.;Orchidaceae
Acanthephippium striatum;Orchidaceae
Acanthephippium sylhetense;Orchidaceae
Acantholimon armenum;Plumbaginaceae
Acantholimon armenum;Plumbaginaceae
Acantholimon caryophyllaceum;Plumbaginaceae
Acantholimon glumaceum;Plumbaginaceae
Acantholimon glumaceum;Plumbaginaceae
Acantholimon kotschyi;Plumbaginaceae
Acantholimon kotschyi;Plumbaginaceae
Acantholimon ulicinum;Plumbaginaceae
Acanthopanax divaricatus;Araliaceae
Acanthopanax gracilistylus;Araliaceae
Acanthopanax henryi;Araliaceae
Acanthopanax lasiogyne;Araliaceae
Acanthopanax nikaianus;Araliaceae
Acanthopanax nikaianus;Araliaceae
Acanthopanax senticosus;Araliaceae
Acanthopanax senticosus;Araliaceae
Acanthopanax sessiliflorus;Araliaceae
Acanthopanax sieboldianus;Araliaceae
Acanthopanax simoni;Araliaceae
Acanthopanax sp.;Araliaceae
Acanthopanax trifoliatus;Araliaceae
Acanthophoenix rousselii;Arecaceae
Acanthostachys pittcarnioides;Bromeliaceae
Acanthostachys strobilacea;Bromeliaceae
Acanthus balcanicus;Acanthaceae
Acanthus hungaricus;Acanthaceae
Acanthus mollis;Acanthaceae
Acca sellowiana;Myrtaceae
Acca sellowiana;Myrtaceae
Acer albopurpurascens;Sapindaceae
Acer campbellii;Sapindaceae
Acer campbellii;Sapindaceae
Acer campestre;Sapindaceae
Acer campestre;Sapindaceae
Acer campestre;Sapindaceae
Acer cappadocicum;Sapindaceae
Acer cappadocicum;Sapindaceae
Acer cappadocicum;Sapindaceae
Acer carpinifolium;Sapindaceae
Acer circinatum;Sapindaceae
Acer cissifolium;Sapindaceae
Acer davidii;Sapindaceae
Acer davidii;Sapindaceae
Acer davidii;Sapindaceae
Acer davidii x tegmentosum;Sapindaceae
Acer divergens;Sapindaceae
Acer ginnala;Sapindaceae
Acer ginnala;Sapindaceae
Acer griseum;Sapindaceae
Acer grosseri;Sapindaceae
Acer hyrcanum;Sapindaceae
Acer japonicum;Sapindaceae
Acer japonicum;Sapindaceae
Acer japonicum;Sapindaceae
Acer laxiflorum;Sapindaceae
Acer macrophyllum;Sapindaceae
Acer mandshuricum;Sapindaceae
Acer miyabei;Sapindaceae
Acer mono;Sapindaceae
Acer monspessulanum;Sapindaceae
Acer monspessulanum;Sapindaceae
Acer monspessulanum;Sapindaceae
Acer negundo;Sapindaceae
Acer negundo;Sapindaceae
Acer negundo;Sapindaceae
Acer negundo;Sapindaceae
Acer nigrum;Sapindaceae
Acer nikoense;Sapindaceae
Acer nikoense;Sapindaceae
Acer ningpoense;Sapindaceae
Acer obtusatum;Sapindaceae
Acer obtusifolium;Sapindaceae
Acer oliverianum;Sapindaceae
Acer opalus;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer palmatum;Sapindaceae
Acer pensylvanicum;Sapindaceae
Acer pictum;Sapindaceae
Acer pictum;Sapindaceae
Acer platanoides;Sapindaceae
Acer platanoides;Sapindaceae
Acer platanoides;Sapindaceae
Acer platanoides;Sapindaceae
Acer pseudoplatanus;Sapindaceae
Acer pseudoplatanus;Sapindaceae
Acer pseudoplatanus;Sapindaceae
Acer pseudoplatanus;Sapindaceae
Acer rubrum;Sapindaceae
Acer rubrum;Sapindaceae
Acer rubrum;Sapindaceae
Acer rubrum;Sapindaceae
Acer rubrum;Sapindaceae
Acer rubrum;Sapindaceae
Acer rubrum;Sapindaceae
Acer rubrum;Sapindaceae
Acer rufinerve;Sapindaceae
Acer rufinerve;Sapindaceae
Acer saccharinum;Sapindaceae
Acer saccharum;Sapindaceae
Acer saccharum;Sapindaceae
Acer saccharum;Sapindaceae
Acer semenovii;Sapindaceae
Acer sieboldianum;Sapindaceae
Acer stachyophyllum;Sapindaceae
Acer sterculiaceum;Sapindaceae
Acer tataricum;Sapindaceae
Acer truncatum;Sapindaceae
Acer truncatum;Sapindaceae
Acianthera geminicaulina;Orchidaceae
Acianthera lanceana;Orchidaceae
Acianthera prolifera;Orchidaceae
Acicarpha tribuloides;Calyceraceae
Acineta densa;Orchidaceae
Acineta erythroxantha;Orchidaceae
Acineta chrysantha;Orchidaceae
Acineta moorei;Orchidaceae
Acineta superba;Orchidaceae
Acineta superba;Orchidaceae
Acis autumnalis;Amaryllidaceae
Acis nicaeensis;Amaryllidaceae
Acmopyle pancheri;Podocarpaceae
Acmopyle sahniana;Podocarpaceae
Acokanthera oblongifolia;Apocynaceae
Aconitum anthora;Ranunculaceae
Aconitum austroyunnanense;Ranunculaceae
Aconitum barbatum;Ranunculaceae
Aconitum carmichaelii;Ranunculaceae
Aconitum carmichaelii;Ranunculaceae
Aconitum carmichaelii;Ranunculaceae
Aconitum compactum;Ranunculaceae
Aconitum episcopale;Ranunculaceae
Aconitum firmum;Ranunculaceae
Aconitum formosanum;Ranunculaceae
Aconitum fukutomei;Ranunculaceae
Aconitum hemsleyanum;Ranunculaceae
Aconitum chiisanense;Ranunculaceae
Aconitum jaluense;Ranunculaceae
Aconitum krylovii;Ranunculaceae
Aconitum kusnezoffii;Ranunculaceae
Aconitum laciniatum;Ranunculaceae
Aconitum lycoctonum;Ranunculaceae
Aconitum napellus;Ranunculaceae
Aconitum napellus;Ranunculaceae
Aconitum napellus;Ranunculaceae
Aconitum napellus;Ranunculaceae
Aconitum napellus;Ranunculaceae
Aconitum napellus;Ranunculaceae
Aconitum napellus;Ranunculaceae
Aconitum napiforme;Ranunculaceae
Aconitum plicatum;Ranunculaceae
Aconitum plicatum;Ranunculaceae
Aconitum sachalinense;Ranunculaceae
Aconitum sp.;Ranunculaceae
Aconitum uchiyamai;Ranunculaceae
Aconitum variegatum;Ranunculaceae
Acorellus pannonicus;Cyperaceae
Acorus calamus;Acoraceae
Acorus calamus;Acoraceae
Acorus calamus;Acoraceae
Acridocarpus austrocaledonicus;Malpighiaceae
Acriopsis javanica;Orchidaceae
Actaea alba;Ranunculaceae
Actaea arizonica;Ranunculaceae
Actaea biternata;Ranunculaceae
Actaea japonica;Ranunculaceae
Actaea japonica;Ranunculaceae
Actaea mairei;Ranunculaceae
Actaea pachypoda;Ranunculaceae
Actaea podocarpa;Ranunculaceae
Actaea racemosa;Ranunculaceae
Actaea racemosa;Ranunculaceae
Actaea racemosa;Ranunculaceae
Actaea rubra;Ranunculaceae
Actaea rubra;Ranunculaceae
Actaea rubra;Ranunculaceae
Actaea simplex;Ranunculaceae
Actaea simplex;Ranunculaceae
Actaea simplex;Ranunculaceae
Actaea simplex;Ranunculaceae
Actaea simplex;Ranunculaceae
Actaea simplex;Ranunculaceae
Actaea simplex;Ranunculaceae
Actaea simplex;Ranunculaceae
Actaea sp.;Ranunculaceae
Actaea spicata;Ranunculaceae
Actinidia arguta;Actinidiaceae
Actinidia arguta;Actinidiaceae
Actinidia arguta;Actinidiaceae
Actinidia arguta;Actinidiaceae
Actinidia deliciosa;Actinidiaceae
Actinidia deliciosa;Actinidiaceae
Actinidia deliciosa;Actinidiaceae
Actinidia deliciosa;Actinidiaceae
Actinidia chinensis;Actinidiaceae
Actinidia kolomikta;Actinidiaceae
Actinidia kolomikta;Actinidiaceae
Actinidia kolomikta;Actinidiaceae
Actinidia kolomikta;Actinidiaceae
Actinidia kolomikta;Actinidiaceae
Actinidia kolomikta;Actinidiaceae
Actinidia pilosula;Actinidiaceae
Actinidia sp.;Actinidiaceae
Actinokentia divaricata;Arecaceae
Actinostrobus acuminatus;Cupressaceae
Actinostrobus arenarius;Cupressaceae
Actinostrobus pyramidalis;Cupressaceae
Ada aurantiaca;Orchidaceae
Adansonia digitata;Malvaceae
Adansonia digitata;Malvaceae
Adansonia digitata;Malvaceae
Adansonia digitata;Malvaceae
Adansonia digitata;Malvaceae
Adansonia fony;Malvaceae
Adansonia grandidieri;Malvaceae
Adansonia grandidieri;Malvaceae
Adansonia grandidieri;Malvaceae
Adansonia gregorii;Malvaceae
Adansonia gregorii;Malvaceae
Adansonia gregorii;Malvaceae
Adansonia perrieri;Malvaceae
Adansonia suarezensis;Malvaceae
Adansonia suarezensis;Malvaceae
Adansonia za;Malvaceae
Adansonia za;Malvaceae
Adansonia za;Malvaceae
Adelonema picturatum;
Adenia epigea;Passifloraceae
Adenia epigea;Passifloraceae
Adenia epigea;Passifloraceae
Adenia firingalavensis;Passifloraceae
Adenia firingalavensis;Passifloraceae
Adenia glauca;Passifloraceae
Adenia globosa;Passifloraceae
Adenia gummifera;Passifloraceae
Adenia isaloensis;Passifloraceae
Adenia keramanthus;Passifloraceae
Adenia lapiazicola;Passifloraceae
Adenia lindiensis;Passifloraceae
Adenia perrieri;Passifloraceae
Adenia perrieri;Passifloraceae
Adenia perrieri;Passifloraceae
Adenia perrieri;Passifloraceae
Adenia sp.;Passifloraceae
Adenia sp.;Passifloraceae
Adenia spinosa;Passifloraceae
Adenia spinosa;Passifloraceae
Adenia stenodactyla;Passifloraceae
Adenia stylosa;Passifloraceae
Adenia subsessilifolia;Passifloraceae
Adenia venenata;Passifloraceae
Adenium boehmianum;Apocynaceae
Adenium boehmianum;Apocynaceae
Adenium dhofarense;Apocynaceae
Adenium multiflorum;Apocynaceae
Adenium multiflorum;Apocynaceae
Adenium multiflorum;Apocynaceae
Adenium obesum;Apocynaceae
Adenium obesum;Apocynaceae
Adenium obesum;Apocynaceae
Adenium obesum;Apocynaceae
Adenium obesum;Apocynaceae
Adenium obesum;Apocynaceae
Adenium obesum;Apocynaceae
Adenium obesum;Apocynaceae
Adenium obesum;Apocynaceae
Adenium obesum;Apocynaceae
Adenium obesum;Apocynaceae
Adenium obesum;Apocynaceae
Adenium obesum;Apocynaceae
Adenium obesum;Apocynaceae
Adenium obesum;Apocynaceae
Adenium obesum;Apocynaceae
Adenium oleifolium;Apocynaceae
Adenium oleifolium;Apocynaceae
Adenium swazicum;Apocynaceae
Adenium swazicum;Apocynaceae
Adenium swazicum;Apocynaceae
Adenocarpus anagyrifolius;Fabaceae (s.str.)
Adenophora bulleyana;Campanulaceae
Adenophora liliifolia;Campanulaceae
Adenophora maximowicziana;Campanulaceae
Adenophora pereskiifolia;Campanulaceae
Adenophora remotiflora;Campanulaceae
Adenophora stricta;Campanulaceae
Adenophora stricta;Campanulaceae
Adenophora triphylla;Campanulaceae
Adiantopsis chlorophylla;Pteridaceae
Adiantum aethiopicum;Pteridaceae
Adiantum capillus-junonis;Pteridaceae
Adiantum capillus-veneris;Pteridaceae
Adiantum capillus-veneris;Pteridaceae
Adiantum capillus-veneris;Pteridaceae
Adiantum davidii;Pteridaceae
Adiantum davidii;Pteridaceae
Adiantum davidii;Pteridaceae
Adiantum davidii;Pteridaceae
Adiantum edentulum;Pteridaceae
Adiantum edgeworthii;Pteridaceae
Adiantum malesianum;Pteridaceae
Adiantum monochlamys;Pteridaceae
Adiantum pedatum;Pteridaceae
Adiantum peruvianum;Pteridaceae
Adiantum reniforme;Pteridaceae
Adiantum roborowskii;Pteridaceae
Adiantum sp.;Pteridaceae
Adiantum sp.;Pteridaceae
Adiantum sp.;Pteridaceae
Adiantum thalictroides;Pteridaceae
Adiantum trapeziforme;Pteridaceae
Adiantum trapeziforme;Pteridaceae
Adiantum venustum;Pteridaceae
Adiantum venustum;Pteridaceae
Adina pilulifera;Rubiaceae
Adina rubella;Rubiaceae
Adonis aestivalis;Ranunculaceae
Adonis annua;Ranunculaceae
Adonis vernalis;Ranunculaceae
Adromischus cristatus;Crassulaceae
Adromischus cristatus;Crassulaceae
Adromischus cristatus;Crassulaceae
Adromischus filicaulis;Crassulaceae
Adromischus marianae;Crassulaceae
Aeginetia indica;Orobanchaceae
Aegiphila bogotensis;Lamiaceae
Aechmaea tillansioides;Bromeliaceae
Aechmea aquilega;Bromeliaceae
Aechmea bracteata;Bromeliaceae
Aechmea bracteata;Bromeliaceae
Aechmea bromeliifolia;Bromeliaceae
Aechmea caerulescens;Bromeliaceae
Aechmea calyculata;Bromeliaceae
Aechmea coelestis;Bromeliaceae
Aechmea correia-arauji;Bromeliaceae
Aechmea fasciata;Bromeliaceae
Aechmea gamosepala;Bromeliaceae
Aechmea hybr.;Bromeliaceae
Aechmea melinonii;Bromeliaceae
Aechmea nudicaulis;Bromeliaceae
Aechmea penduliflora;Bromeliaceae
Aechmea pyramidalis;Bromeliaceae
Aechmea sp.;Bromeliaceae
Aechmea sp.;Bromeliaceae
Aechmea sp.;Bromeliaceae
Aechmea sp.;Bromeliaceae
Aechmea sp.;Bromeliaceae
Aechmea sp.;Bromeliaceae
Aechmea spectabilis;Bromeliaceae
Aechmea tillandsioides;Bromeliaceae
Aechmea weberbaueri;Bromeliaceae
Aeollanthus sp.;Lamiaceae
Aeollanthus subacaulis;Lamiaceae
Aeollanthus subacaulis;Lamiaceae
Aeollanthus subacaulis;Lamiaceae
Aeollanthus subacaulis;Lamiaceae
Aeollanthus subacaulis;Lamiaceae
Aeonium arboreum;Crassulaceae
Aeonium canariense;Crassulaceae
Aeonium cuneatum;Crassulaceae
Aeonium decorum;Crassulaceae
Aeonium glutinosum;Crassulaceae
Aeonium gomerense;Crassulaceae
Aeonium goochiae;Crassulaceae
Aeonium haworthii;Crassulaceae
Aeonium hierrense;Crassulaceae
Aeonium lancerottense;Crassulaceae
Aeonium leucoblepharum;Crassulaceae
Aeonium lindleyi;Crassulaceae
Aeonium lindleyi;Crassulaceae
Aeonium mascaense;Crassulaceae
Aeonium nobile;Crassulaceae
Aeonium percarneum;Crassulaceae
Aeonium saundersii;Crassulaceae
Aeonium smithii;Crassulaceae
Aeonium smithii;Crassulaceae
Aeonium sp.;Crassulaceae
Aeonium spathulatum;Crassulaceae
Aeonium tabulaeforme;Crassulaceae
Aeonium urbicum;Crassulaceae
Aeonium volkeri;Crassulaceae
Aerangis articulata;Orchidaceae
Aerangis citrata;Orchidaceae
Aerangis coriacea;Orchidaceae
Aerangis fastuosa;Orchidaceae
Aerangis fastuosa;Orchidaceae
Aerangis hildebrandtii;Orchidaceae
Aerangis kotschyana;Orchidaceae
Aerangis macrocentra;Orchidaceae
Aerangis mooreana;Orchidaceae
Aerangis mystacidii;Orchidaceae
Aerangis punctata;Orchidaceae
Aerangis punctata;Orchidaceae
Aerangis rhodosticta;Orchidaceae
Aerangis stylosa;Orchidaceae
Aeranthes denticulata;Orchidaceae
Aeranthes filipes;Orchidaceae
Aeranthes filipes;Orchidaceae
Aeranthes grandiflora;Orchidaceae
Aeranthes henrici;Orchidaceae
Aeranthes henrici;Orchidaceae
Aerides falcata;Orchidaceae
Aerides odorata;Orchidaceae
Aerides odorata;Orchidaceae
Aerides odorata;Orchidaceae
Aerides rubescens;Orchidaceae
Aerides sp.;Orchidaceae
Aerides sp.;Orchidaceae
Aerides sp.;Orchidaceae
Aerococcus micranthus;Bromeliaceae
Aesculus;Sapindaceae
Aesculus flava;Sapindaceae
Aesculus flava;Sapindaceae
Aesculus glabra;Sapindaceae
Aesculus hippocastanum;Sapindaceae
Aesculus hippocastanum;Sapindaceae
Aesculus hippocastanum;Sapindaceae
Aesculus hippocastanum;Sapindaceae
Aesculus hippocastanum;Sapindaceae
Aesculus hippocastanum;Sapindaceae
Aesculus hippocastanum;Sapindaceae
Aesculus hyppocastanum;Sapindaceae
Aesculus hyppocastanum;Sapindaceae
Aesculus chinensis;Sapindaceae
Aesculus neglecta;Sapindaceae
Aesculus parviflora;Sapindaceae
Aesculus woerlitzensis;Sapindaceae
Aesculus x carnea;Sapindaceae
Aesculus x carnea;Sapindaceae
Aesculus x carnea;Sapindaceae
Aesculus x carnea;Sapindaceae
Aesculus x mutabilis;Sapindaceae
Aesculus x mutabilis;Sapindaceae
Aesculus x mutabilis;Sapindaceae
Aeschynanthus andersonii;Gesneriaceae
Aeschynanthus bracteatus;Gesneriaceae
Aeschynanthus buxifolius;Gesneriaceae
Aeschynanthus denticuliger;Gesneriaceae
Aeschynanthus evrardii;Gesneriaceae
Aeschynanthus hosseusianus;Gesneriaceae
Aeschynanthus hybr.;Gesneriaceae
Aeschynanthus membranifolius;Gesneriaceae
Aeschynanthus micranthus;Gesneriaceae
Aeschynanthus parasiticus;Gesneriaceae
Aeschynanthus pulcher x denticuliger;Gesneriaceae
Aeschynanthus radicans;Gesneriaceae
Aeschynanthus radicans;Gesneriaceae
Aeschynanthus sp.;Gesneriaceae
Aeschynanthus sp.;Gesneriaceae
Aeschynanthus sp.;Gesneriaceae
Aeschynanthus sp.;Gesneriaceae
Aeschynanthus sp.;Gesneriaceae
Aeschynanthus sp.;Gesneriaceae
Aeschynanthus sp.;Gesneriaceae
Aeschynanthus sp.;Gesneriaceae
Aeschynanthus sp.;Gesneriaceae
Aeschynanthus speciosus;Gesneriaceae
Aeschynanthus tricolor;Gesneriaceae
Aethionema antitaurii;Brassicaceae
Aethionema armenum;Brassicaceae
Aethionema carneum;Brassicaceae
Aethionema coridifolium;Brassicaceae
Aethionema edentulum;Brassicaceae
Aethionema grandiflorum;Brassicaceae
Aethionema kotschyi;Brassicaceae
Aethionema lepidioides;Brassicaceae
Aethionema membranaceum;Brassicaceae
Aethionema pulchellum;Brassicaceae
Aethionema saxatile;Brassicaceae
Aethionema schistosum;Brassicaceae
Aethionema sp.;Brassicaceae
Aethionema speciosum;Brassicaceae
Aethionema thomasianum;Brassicaceae
Aethionema thomasianum;Brassicaceae
Aframomum chrysanthum;Zingiberaceae
Aframomum melegueta;Zingiberaceae
Aframomum melegueta;Zingiberaceae
Aframomum melegueta;Zingiberaceae
Aframomum sp.;Zingiberaceae
Aframomum sp.;Zingiberaceae
Aframomum sp.;Zingiberaceae
Aframomum sp.;Zingiberaceae
Aframomum zambesiacum;Zingiberaceae
Afrocarpus gaussenii;Podocarpaceae
Afrocarpus gracilior;Podocarpaceae
Afrocarpus gracilior;Podocarpaceae
Afrocarpus mannii;Podocarpaceae
Afrocarpus mannii;Podocarpaceae
Afrolimon purpuratum;Plumbaginaceae
Agalmyla chorisepala;Gesneriaceae
Agapanthus africanus;Amaryllidaceae (Agapanthaceae)
Agapanthus campanulatus;Amaryllidaceae (Agapanthaceae)
Agapanthus campanulatus;Amaryllidaceae (Agapanthaceae)
Agapanthus campanulatus;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus hybr.;Amaryllidaceae (Agapanthaceae)
Agapanthus inapertus;Amaryllidaceae (Agapanthaceae)
Agapanthus inapertus;Amaryllidaceae (Agapanthaceae)
Agapanthus praecox;Amaryllidaceae (Agapanthaceae)
Agapanthus praecox;Amaryllidaceae (Agapanthaceae)
Agapanthus praecox;Amaryllidaceae (Agapanthaceae)
Agapanthus praecox;Amaryllidaceae (Agapanthaceae)
Agapanthus praecox;Amaryllidaceae (Agapanthaceae)
Agapanthus praecox;Amaryllidaceae (Agapanthaceae)
Agapanthus sp.;Amaryllidaceae (Agapanthaceae)
Agapetes serpens;Ericaceae
Agapetes serpens;Ericaceae
Agastache cana;Lamiaceae
Agastache foeniculum;Lamiaceae
Agastache hybr.;Lamiaceae
Agastache hybr.;Lamiaceae
Agastache nepetoides;Lamiaceae
Agastache occidentalis;Lamiaceae
Agastache rugosa;Lamiaceae
Agastache rugosa;Lamiaceae
Agastache rupestris;Lamiaceae
Agastache scrophulariifolia;Lamiaceae
Agathis borneensis;Araucariaceae
Agathis borneensis;Araucariaceae
Agathis brownii;Araucariaceae
Agathis corbassonii;Araucariaceae
Agathis moorei;Araucariaceae
Agathis ovata;Araucariaceae
Agathis palmerstonii;Araucariaceae
Agave  vizcainoensis;Asparagaceae (Agavaceae)
Agave <x>leopoldii;Asparagaceae (Agavaceae)
Agave albopilosa;Asparagaceae (Agavaceae)
Agave americana;Asparagaceae (Agavaceae)
Agave americana;Asparagaceae (Agavaceae)
Agave americana;Asparagaceae (Agavaceae)
Agave americana;Asparagaceae (Agavaceae)
Agave asperrima;Asparagaceae (Agavaceae)
Agave asperrima;Asparagaceae (Agavaceae)
Agave attenuata;Asparagaceae (Agavaceae)
Agave attenuata;Asparagaceae (Agavaceae)
Agave bovicornuta;Asparagaceae (Agavaceae)
Agave calciphila;Asparagaceae (Agavaceae)
Agave cerulata;Asparagaceae (Agavaceae)
Agave cupreata;Asparagaceae (Agavaceae)
Agave deserti;Asparagaceae (Agavaceae)
Agave deserti;Asparagaceae (Agavaceae)
Agave evadens;Asparagaceae (Agavaceae)
Agave guadalajarana;Asparagaceae (Agavaceae)
Agave gypsophila;Asparagaceae (Agavaceae)
Agave havardiana;Asparagaceae (Agavaceae)
Agave havardiana;Asparagaceae (Agavaceae)
Agave havardiana;Asparagaceae (Agavaceae)
Agave horrida;Asparagaceae (Agavaceae)
Agave chiapensis;Asparagaceae (Agavaceae)
Agave impressa;Asparagaceae (Agavaceae)
Agave isthmensis;Asparagaceae (Agavaceae)
Agave karwinskii;Asparagaceae (Agavaceae)
Agave lechuguilla;Asparagaceae (Agavaceae)
Agave lechuguilla;Asparagaceae (Agavaceae)
Agave macroacantha;Asparagaceae (Agavaceae)
Agave maculata;Asparagaceae (Agavaceae)
Agave maculata;Asparagaceae (Agavaceae)
Agave margaritae;Asparagaceae (Agavaceae)
Agave mckelveyana;Asparagaceae (Agavaceae)
Agave mitis;Asparagaceae (Agavaceae)
Agave mitis;Asparagaceae (Agavaceae)
Agave montana;Asparagaceae (Agavaceae)
Agave multifilifera;Asparagaceae (Agavaceae)
Agave neomexicana;Asparagaceae (Agavaceae)
Agave nizandensis;Asparagaceae (Agavaceae)
Agave obscura;Asparagaceae (Agavaceae)
Agave obscura;Asparagaceae (Agavaceae)
Agave pablocarrilloi;Asparagaceae (Agavaceae)
Agave palmeri;Asparagaceae (Agavaceae)
Agave parrasana;Asparagaceae (Agavaceae)
Agave parryi;Asparagaceae (Agavaceae)
Agave parryi;Asparagaceae (Agavaceae)
Agave parryi;Asparagaceae (Agavaceae)
Agave parryi;Asparagaceae (Agavaceae)
Agave parryi;Asparagaceae (Agavaceae)
Agave polianthiflora;Asparagaceae (Agavaceae)
Agave potatorum;Asparagaceae (Agavaceae)
Agave sebastiana;Asparagaceae (Agavaceae)
Agave schidigera;Asparagaceae (Agavaceae)
